Own Actual,Predicted Ownership
57.72,52.26
50.43,43.71
43.02,12.56
43,36.56
40.98,9.60
40.74,41.32
40.15,56.88
34.97,62.23
32.84,29.92
32.05,34.63
30.04,46.52
29.36,23.32
28.24,16.36
26.96,18.28
25.24,38.60
24.54,25.07
20.57,2.62
15.86,1.98
14.98,13.32
14.18,12.05
13.23,31.93
12.47,13.80
11.89,15.23
9.4,10.01
9.15,28.64
8.3,19.84
7.94,10.63
7.85,6.74
7.85,3.80
6.73,6.41
6.15,17.45
5.99,21.00
5.76,8.66
3.81,1.81
3.32,7.90
3.23,3.46
2.85,4.87
2.76,2.12
2.2,0.00
1.91,0.00
1.7,0.00
1.62,1.03
1.59,2.89
1.35,0.00
1.14,0.01
0.81,1.62
0.58,0.74
0.52,1.46
0.47,0.00
0.47,0.00
0.45,0.00
0.45,0.00
0.4,0.00
0.27,0.00
0.25,0.00
0.2,0.00
0.18,0.00
0.16,0.00
0.11,0.00
0.09,0.00
0.09,0.00
0.07,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.04,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
